HstNummer;Name mit Ort;Name ohne Ort;Ort;GKZ;Globale ID;Tarifgebiete;MVTT X;MVTT Y;WGS84 X;WGS84 Y
8013;Reichgreißl;Reichgreißl;Reichgreißl;9183118;de:09183:6545;;4518253;825563;48,14769495;12,24384794
8014;Dörfl/Straß;Dörfl/Straß;Straß (Gars am Inn);9183118;de:09183:3108;;4519196;825465;48,14854864;12,25652487
8015;Ramsau B12;Ramsau B12;Ramsau (b Dorfen);9183140;de:09183:7751;;4517293;823025;48,17054654;12,23104969
8812;Oberpfaffenhofen, Dornier-Werk;Dornier-Werkgelände;Oberpfaffenhofen;9188144;de:09188:8812;;4447321;831668;48,09086943;11,29139642
8829;Bad Aibling, Bahnhof;Bahnhof;Bad Aibling;9187117;de:09187:40851;;4500431;857363;47,8619594;12,00431674
8831;Penzberg, Philippstr.;Philippstraße;Penzberg;9190141;de:09190:41467;;4453202;869424;47,75178295;11,37444009
8832;Bad Heilbrunn, Gästeinfo/Fk.;Gästeinfo/Fachklinik;Bad Heilbrunn (Obb);9173111;de:09173:8832;15;4459355;869921;47,74773062;11,45654153
8833;Penzberg, Karlstraße;Karlstraße;Penzberg;9190141;de:09190:41461;;4453160;869263;47,75322784;11,37386264
8834;Penzberg, Kreisel/Grube;Kreisel/Grube;Penzberg;9190141;de:09190:41462;;4453600;869070;47,7549954;11,37970987
8835;Penzberg, Berghalde;Berghalde;Penzberg;9190141;de:09190:41453;;4453849;868679;47,75852972;11,38298912
8836;Penzberg, Kindergarten;Kindergarten;Penzberg;9190141;de:09190:41443;;4454187;868094;47,763815;11,38743545
8837;Penzberg, Auf der Etz;Auf der Etz;Penzberg;9190141;de:09190:41444;;4454585;867976;47,76490441;11,39273192
8838;Penzberg, Krankenhaus;Krankenhaus;Penzberg;9190141;de:09190:41450;;4453278;869011;47,75550275;11,3754092
8857;Steinhöring;Steinhöring;Steinhöring (Kr EBE);9175137;de:09175:8857;12;4502465;832711;48,08366565;12,03163825
8888;Olympiapark Parkharfe;Olympiapark Parkharfe;München;9162000;de:09162:8888;2;4466011;822933;48,17069583;11,54158049
8888;Toni-Merkens-Weg;Toni-Merkens-Weg;München;9162000;de:09162:8888;2;4466011;822933;48,17069583;11,54158049
8999;Stadtgrenze München;Stadtgrenze München;München;9162000;de:09162:8999;;;;;
9000;Weilheim, Bahnhof;Bahnhof;Weilheim i.OB;9190157;de:09190:41571;;4435969;858877;47,84514951;11,14307912
9001;Vaterstetten, Schwalbenstraße;Schwalbenstraße;Vaterstetten;9175132;de:09175:9001;5;4482476;830032;48,10752097;11,76323724
